t1,t2,d,k,approximation,ftp
"[7, 15, 19, 18, 1, 18, 14, 9, 16, 3, 13, 7, 3, 15, 7, 16, None, 4, 8, 15]","[3, 15, 19, 4, 8, 4, 14, 9, 16, 3, 13, 7, 14, 15, 7, 16, None, 18, 1, 15]",3,3,16,3
"[4, 19, 17, 8, 5, 8, 7, 14, None, 16, 6, 1, 19, 1, 11, 16, 0, 18, 10, 15]","[4, 19, 17, 4, 5, 8, 13, 1, None, 18, 6, 1, 19, 14, 11, 18, 10, 16, 0, 15]",3,3,11,3
"[14, 3, 9, None, 10, 17, 12, 12, 3, 5, 11, 14, 3, 16, 18, 4, 11, 8, 1, 2]","[19, 3, 9, None, 10, 17, 12, 12, 3, 5, 7, 14, 3, 4, 18, 16, 11, 8, 1, 2]",3,3,11,3
"[11, 7, 19, None, 10, 14, 11, 3, 19, 19, 1, 17, 11, 14, 10, 16, 14, 5, 15, 12]","[11, 7, 19, None, 10, 14, 11, 3, 11, 19, 1, 4, 11, 14, 10, 16, 14, 5, 15, 18]",3,3,4,3
"[8, 3, 11, 8, 13, 18, 18, 14, 5, 0, 3, 18, 11, 12, 0, 3, 5, 3, 19, None]","[8, 3, 19, 8, 13, 6, 19, 14, 2, 0, 3, 19, 6, 12, 0, 3, 2, 3, None, 18]",3,3,9,3
"[11, 17, 8, 15, 5, 13, 5, 16, 5, 13, None, 14, 19, 17, 19, 1, 10, 12, 10, 7]","[11, 17, 10, 15, 17, 13, 5, 16, 5, 13, None, 4, 19, 17, 5, 1, 10, 12, 8, 7]",3,3,13,3
"[16, 13, 10, 15, 3, None, 16, 17, 15, 3, 17, 8, 10, 0, 0, 5, 18, 3, 7, 11]","[16, 13, 13, 8, 11, None, 11, 6, 15, 11, 6, 15, 10, 0, 0, 5, 18, 16, 7, 3]",3,3,16,3
"[2, 5, 8, 18, 12, 8, 12, 2, 16, 1, 11, None, 3, 14, 0, 1, 11, 6, 8, 7]","[2, 5, 8, 18, 12, 8, 13, 2, 16, 1, 11, None, 3, 14, 0, 1, 11, 6, 8, 7]",3,3,3,1
"[19, 13, 16, 16, 14, 13, 19, 2, 1, 10, 12, 3, 17, 19, 19, 10, 18, None, 9, 11]","[19, 13, 18, 16, 14, 13, 19, 2, 1, 10, 12, 3, 17, 19, 13, 10, 18, None, 9, 11]",3,3,8,2
"[15, 15, 18, 2, 2, 12, 10, 2, 17, 3, 13, 12, 15, 8, 0, 16, 17, 19, 0, None]","[6, 15, 19, 2, 2, 12, 8, 2, 17, 3, 15, 12, 15, 0, 10, 16, 17, 18, None, 10]",3,3,7,3
"[12, 5, 19, 9, 18, 8, 5, 11, None, 8, 16, 18, 14, 14, 5, 3, 5, 10, 3, 8]","[12, 5, 19, 9, 17, 8, 5, 11, None, 8, 8, 18, 14, 3, 5, 3, 5, 10, 3, 8]",3,3,12,3
"[12, 7, 12, 19, 0, 17, 8, 9, 3, 4, 19, 5, 3, 2, 8, 0, 13, 9, None, 18]","[12, 2, 9, 8, 0, 17, 3, 12, 19, 4, 1, 5, 8, 7, 3, 0, 13, 9, None, 18]",3,3,13,3
"[4, 7, 1, 14, 11, None, 11, 17, 13, 10, 17, 9, 16, 1, 18, 0, 1, 5, 15, 2]","[8, 7, 1, 14, 11, 1, 10, 17, 5, 11, 17, 6, 16, None, 18, 0, 1, 13, 15, 2]",3,3,11,3
"[14, 10, 6, 4, 11, 2, None, 5, 5, 0, 7, 1, 16, 5, 18, 7, 6, 5, 16, 16]","[14, 10, None, 7, 5, 6, 2, 11, 5, 0, 4, 1, 16, 3, 18, 4, 2, 5, 16, 16]",3,3,10,3
"[16, 10, 13, 12, 5, 19, 19, 1, 6, 11, 15, 17, 1, None, 19, 17, 12, 5, 15, 2]","[16, 10, 13, 12, 5, 19, 19, 1, 6, 17, 15, 9, 13, None, 19, 17, 12, 5, 2, 2]",3,3,11,3
"[2, 13, 19, 10, 18, 7, 19, 1, 10, 0, 16, 16, 10, 2, 8, 6, 1, 6, 13, None]","[2, 7, 19, 17, 18, 13, 19, 2, 17, 0, 6, 16, 17, 0, 8, 6, 1, 16, 7, None]",3,3,13,3
"[18, None, 13, 19, 3, 19, 15, 1, 16, 18, 5, 16, 4, 5, 17, 9, 17, 7, 17, 16]","[18, None, 13, 19, 3, 16, 15, 1, 16, 18, 11, 19, 14, 11, 17, 9, 17, 7, 17, 9]",3,3,14,3
"[17, 13, 14, 15, 8, 8, 16, 4, 2, 14, 8, 1, 6, 5, None, 16, 19, 19, 13, 14]","[17, 13, 14, 11, 8, 8, 16, 4, 2, 13, 8, 16, 6, 5, None, 1, 19, 19, 4, 14]",3,3,11,3
"[1, 10, 12, 5, 1, 7, 11, 13, 15, 17, None, 3, 7, 4, 5, 5, 14, 0, 14, 3]","[6, 10, 12, 5, 1, 13, 11, 4, 15, 17, None, 8, 13, 7, 5, 5, 14, 0, 14, 3]",3,3,11,3
"[16, 2, 5, 17, 0, 12, 0, 1, 0, 0, 19, 9, 4, 14, 17, 16, 14, None, 5, 0]","[16, 2, 5, 17, 0, 12, 0, 1, 0, 0, 19, 9, 4, 19, 17, 16, 14, None, 5, 0]",3,3,4,1
"[6, 12, 18, 8, 16, 1, 7, 16, 10, 5, 15, 2, 0, 12, 15, 2, 8, 7, None, 2]","[6, 17, 18, 8, 16, 1, 7, 16, 10, 5, 15, 2, 0, 12, 15, 2, 8, 3, None, 2]",3,3,2,2
"[13, 18, 4, 19, 12, 9, 2, None, 1, 7, 8, 18, 15, 16, 13, 7, 4, 10, 2, 11]","[17, 18, 19, 4, 11, 9, 2, None, 1, 7, 13, 18, 15, 8, 17, 7, 19, 16, 2, 12]",3,3,11,3
"[4, 0, 3, 13, None, 10, 11, 17, 16, 3, 2, 2, 14, 4, 0, 18, 7, 1, 13, 11]","[4, 0, 3, 13, None, 10, 11, 17, 16, 7, 2, 2, 14, 4, 0, 18, 7, 1, 13, 11]",3,3,5,1
"[1, 13, 9, 6, 19, 18, 19, 19, 10, 8, 0, 1, 11, None, 19, 13, 11, 8, 19, 10]","[1, 10, 9, 6, 19, 18, 19, 19, 13, 1, None, 8, 11, 0, 19, 10, 9, 8, 19, 13]",3,3,10,3
"[9, 13, 15, 19, 15, 13, 7, 0, 14, 10, None, 1, 5, 0, 10, 8, 8, 0, 15, 2]","[9, 13, 1, 19, 15, 13, 7, 0, 14, 10, None, 15, 5, 9, 10, 8, 8, 13, 15, 11]",3,3,10,3
"[17, 11, None, 14, 12, 3, 9, 1, 7, 12, 4, 15, 8, 8, 16, 2, 6, 7, 11, 5]","[17, 9, None, 2, 12, 15, 11, 6, 2, 12, 4, 3, 8, 8, 16, 14, 1, 7, 11, 5]",3,3,13,3
"[11, 14, 3, 5, None, 14, 16, 10, 13, 15, 13, 8, 18, 12, 19, 19, 9, 4, 2, 4]","[18, 14, 3, 19, None, 4, 16, 19, 13, 15, 13, 8, 11, 0, 5, 5, 9, 4, 2, 14]",3,3,15,3
"[2, 0, 4, 7, 11, 14, 11, 14, 9, 2, 16, 18, 16, 10, 9, 17, 17, None, 10, 3]","[16, 17, 4, 7, 11, 14, 11, 14, 9, 0, 1, 18, 1, 10, 9, 17, 2, None, 10, 3]",3,3,7,3
"[12, 16, 12, 5, 5, 7, 11, 17, 14, 1, 2, 19, 3, 0, 6, 17, 14, None, 7, 15]","[12, 16, 12, 5, 5, 17, 11, None, 14, 8, 2, 19, 3, 0, 6, 7, 14, 7, 17, 15]",3,3,8,2
"[10, 7, 18, 12, 14, 12, 0, 4, 15, 19, 2, 12, 10, 18, None, 17, 3, 7, 7, 12]","[10, 7, 18, 6, 14, 0, 10, 4, 11, 19, 2, 17, 0, 18, None, 6, 3, 7, 7, 6]",3,3,9,3
"[4, 17, None, 9, 18, 7, 2, 16, 5, 16, 13, 19, 17, 19, 1, 7, 10, 6, 10, 2]","[4, 17, None, 9, 18, 7, 2, 16, 5, 16, 1, 19, 17, 19, 13, 8, 11, 6, 14, 2]",3,3,12,3
"[17, 12, 5, 19, 17, 11, 11, 15, 0, 18, 6, None, 10, 19, 1, 11, 12, 7, 6, 4]","[17, 12, 5, 19, 15, 11, 11, 17, 0, 18, 7, None, 10, 19, 1, 11, 12, 4, 6, 7]",3,3,10,2
"[18, 8, 12, 8, 2, 10, 14, 9, 0, 2, 3, 18, 11, 3, 11, 4, 14, 8, None, 1]","[18, 8, 12, 7, 2, 10, 14, 9, 0, 2, 3, 18, 11, 8, 11, 13, 14, 3, None, 1]",3,3,9,3
"[3, 12, None, 5, 1, 4, 3, 9, 1, 2, 12, 9, 2, 10, 15, 7, 9, 1, 14, 17]","[3, 12, None, 10, 1, 12, 3, 9, 7, 2, 4, 9, 9, 5, 8, 1, 9, 1, 14, 17]",3,3,14,3
"[3, 8, 11, 7, 2, 10, 0, 2, None, 13, 1, 12, 1, 1, 2, 17, 2, 13, 16, 7]","[7, 8, 11, 2, 2, 10, 0, 3, None, 13, 1, 12, 1, 7, 2, 17, 2, 13, 16, 3]",3,3,7,2
"[1, None, 11, 15, 14, 15, 3, 19, 12, 0, 8, 16, 16, 11, 7, 2, 14, 14, 7, 9]","[1, None, 11, 15, 14, 14, 3, 19, 12, 0, 8, 5, 2, 11, 7, 2, 15, 6, 7, 9]",3,3,14,3
"[7, 17, 3, 13, 6, 18, 19, 4, 9, 14, 18, 13, 6, 0, 17, 19, 4, 3, 15, None]","[7, 19, 6, 4, 0, 18, 19, 2, 9, 14, 18, 4, 6, 3, 17, 17, 2, 3, 1, None]",3,3,14,3
"[11, 9, 19, None, 10, 10, 19, 0, 12, 6, 3, 19, 0, 18, 13, 17, 13, 4, 7, 3]","[11, 9, 19, None, 10, 8, 19, 0, 12, 4, 3, 19, 0, 18, 13, 17, 13, 6, 7, 3]",3,3,9,3
"[8, None, 14, 11, 13, 12, 1, 11, 4, 14, 0, 0, 11, 1, 16, 6, 1, 8, 12, 8]","[8, 11, 14, 11, 13, 1, 15, 11, 4, 14, 6, 0, 6, 15, 16, None, 15, 8, 1, 8]",3,3,8,3
"[18, None, 5, 0, 15, 6, 14, 6, 5, 10, 13, 5, 2, 6, 1, 18, 1, 4, 14, 8]","[5, None, 5, 11, 12, 6, 14, 6, 5, 10, 13, 18, 2, 6, 1, 18, 1, 4, 14, 15]",3,3,13,3
"[15, 2, 5, 16, 2, 9, 16, 10, 2, None, 6, 15, 2, 18, 16, 16, 8, 8, 5, 7]","[15, 2, 5, 16, 19, 9, 16, 10, 2, None, 6, 15, 8, 18, 16, 16, 8, 8, 6, 7]",3,3,12,3
"[11, 17, 8, 17, 8, 17, 19, 15, 16, 16, 7, 19, 3, 7, 17, 8, 6, 6, 0, None]","[11, 17, 6, 17, 8, 17, 19, 15, 16, 16, 19, 19, 3, 7, 17, 8, 6, 6, 0, None]",3,3,9,2
"[19, 8, 12, 9, 11, 8, 19, 4, 6, 0, 14, 13, 4, 17, 8, 5, 13, 18, 1, None]","[13, 8, 12, 9, 19, 8, 13, 4, 6, 0, 14, 17, 4, None, 8, 0, 11, 18, 1, 11]",3,3,7,3
"[3, 4, 13, 8, 10, 15, 8, 13, 13, 6, 14, 0, 3, 1, None, 17, 14, 6, 11, 14]","[3, 4, 13, 19, 10, 15, 0, 13, 14, 6, 14, 6, 3, 1, None, 11, 14, 0, 17, 13]",3,3,10,3
"[16, 17, 15, 4, None, 14, 4, 14, 1, 12, 18, 16, 2, 6, 2, 6, 9, 14, 13, 16]","[16, 17, 16, 4, None, 14, 4, 14, 1, 13, 18, 15, 6, 11, 11, 6, 9, 18, 12, 16]",3,3,12,3
"[4, 5, 18, None, 6, 7, 17, 3, 7, 4, 14, 3, 9, 16, 19, 8, 8, 11, 5, 8]","[4, 16, 18, None, 6, 17, 17, 3, 7, 4, 14, 3, 9, 16, 19, 8, 8, 11, 1, 8]",3,3,7,3
"[11, 16, 1, 15, 3, 6, 14, 0, 5, 17, 9, 1, 14, 9, 18, 0, None, 11, 11, 9]","[11, 9, 1, 16, 10, 6, 17, 0, 5, None, 15, 1, 17, 16, 11, 0, 14, 18, 11, 16]",3,3,12,3
"[14, 14, 16, 4, 9, 16, 14, 1, 10, 15, None, 17, 1, 18, 9, 11, 17, 10, 14, 3]","[2, 2, 9, 4, 9, 11, 2, 1, 11, 5, None, 17, 1, 18, 16, 16, 17, 10, 2, 3]",3,3,13,3
"[2, 10, 16, 8, None, 2, 17, 17, 2, 11, 14, 0, 19, 6, 13, 2, 6, 4, 11, 7]","[2, 10, 16, 2, None, 2, 17, 17, 3, 14, 14, 0, 19, 6, 13, 2, 6, 4, 11, 7]",3,3,6,2
"[7, 0, 10, 7, 9, 4, 11, 19, 14, 0, 5, 16, 0, 1, 15, 6, None, 19, 17, 6]","[15, 0, 10, 15, 9, 8, 0, 12, 14, 0, 5, 16, 11, 1, 7, 19, None, 19, 17, 12]",3,3,12,3
"[15, 6, 8, 13, 13, 2, 17, 11, 9, 11, 7, 14, 16, 8, 17, 12, 1, None, 10, 9]","[15, 12, 16, 9, 13, 6, 3, 11, 13, 11, 7, 14, 17, 3, 17, 2, 1, None, 10, 9]",3,3,15,3
"[2, 5, 12, 17, 0, 10, 2, 18, None, 0, 16, 13, 8, 7, 12, 13, 17, 11, 12, 13]","[2, 5, 12, 17, 0, 10, 2, 18, None, 7, 16, 19, 8, 19, 12, 19, 17, 11, 12, 7]",3,3,5,2
"[12, 5, 8, 13, 2, 9, 19, 6, 13, 13, 9, 0, None, 14, 0, 3, 5, 19, 10, 0]","[17, 12, 1, 12, 2, 9, 19, 6, 5, 12, 9, 0, 14, 19, 0, 3, 5, None, 10, 0]",3,3,13,3
"[15, 6, 19, 12, 15, 17, None, 3, 17, 3, 1, 8, 5, 19, 0, 1, 7, 6, 14, 5]","[15, 6, 19, 12, 15, 8, None, 3, 6, 3, 14, 17, 5, 19, 0, 1, 7, 19, 14, 5]",3,3,8,3
"[13, None, 12, 16, 12, 4, 1, 13, 16, 8, 16, 14, 0, 14, 16, 16, 1, 0, 1, 7]","[13, None, 18, 16, 18, 4, 11, 13, 16, 16, 16, 9, 1, 9, 8, 16, 1, 0, 0, 7]",3,3,13,3
"[2, 6, 13, 7, 19, 2, 11, 11, 4, 4, 11, 9, 19, 12, 19, 8, 4, None, 5, 17]","[4, 6, 13, 7, 19, 19, 11, 11, 4, 2, 11, 0, 2, 5, 12, 8, 4, None, 19, 17]",3,3,11,3
"[15, 6, 10, 15, 16, 10, 17, 13, 1, 17, 1, 2, 14, 17, 4, None, 17, 0, 15, 10]","[15, 6, 10, 15, 19, 10, 18, 13, 1, 18, 1, 2, 14, 18, 4, None, 18, 15, 0, 5]",3,3,9,3
"[8, 0, 4, 12, 1, 6, 11, 10, None, 19, 3, 7, 1, 8, 19, 5, 8, 8, 8, 17]","[8, 0, 4, 17, 1, 6, 11, 10, None, 16, 3, 7, 2, 8, 16, 5, 12, 1, 8, 8]",3,3,9,3
"[6, 13, 17, 19, 18, 2, 17, 19, 1, 8, 18, 18, 7, None, 6, 16, 3, 10, 9, 8]","[6, 13, 17, 19, 18, 2, 17, 6, 1, 8, 18, 18, 16, None, 19, 14, 3, 11, 9, 8]",3,3,16,3
"[15, 13, None, 5, 10, 6, 2, 15, 10, 4, 2, 13, 11, 15, 7, 18, 11, 9, 17, 16]","[15, 13, None, 5, 14, 6, 2, 15, 14, 13, 7, 4, 8, 15, 2, 18, 9, 11, 17, 16]",3,3,13,3
"[11, 12, 8, 1, 12, 6, 9, 4, 6, 14, 0, 13, 19, 19, 15, 17, 1, None, 12, 9]","[11, 12, 8, 4, 12, 6, 9, 0, 6, 14, 0, 13, 19, 19, 15, 17, 9, None, 12, 9]",3,3,8,3
"[None, 13, 1, 2, 14, 15, 4, 18, 12, 15, 8, 13, 15, 14, 0, 0, 13, 1, 2, 9]","[None, 18, 1, 2, 14, 15, 9, 13, 12, 10, 8, 18, 15, 2, 0, 0, 18, 1, 14, 4]",3,3,11,3
"[14, 18, 9, 12, 1, 8, 0, 6, 13, 17, 19, 16, 1, 10, None, 7, 3, 10, 13, 6]","[14, 11, 9, 1, 16, 8, 0, 12, 13, 17, 19, 12, 16, 10, None, 7, 18, 10, 13, 6]",3,3,9,3
"[11, 9, 14, 15, 0, 8, 19, 9, 3, 0, 15, None, 0, 17, 4, 0, 12, 11, 12, 9]","[11, 6, 14, 15, 0, 8, 0, 6, 3, 7, 15, None, 0, 10, 4, 0, 12, 11, 12, 6]",3,3,9,3
"[11, 8, 4, 4, 17, 8, 18, 18, 14, 15, 15, 2, 15, None, 13, 0, 6, 6, 1, 0]","[11, 10, 4, 4, 17, 10, 18, 18, 15, 8, 14, 2, 15, None, 13, 0, 6, 5, 1, 0]",3,3,9,3
"[2, 9, 10, 16, 13, 19, 11, 10, 18, 16, None, 1, 3, 5, 0, 1, 14, 14, 17, 6]","[10, 9, 10, 16, 17, 19, 11, 10, 4, 16, None, 1, 3, 5, 0, 7, 14, 14, 13, 6]",3,3,13,3
"[10, 0, 0, 15, 17, 11, 10, 18, None, 16, 3, 8, 17, 19, 0, 5, 12, 13, 19, 0]","[10, 0, 0, 15, 18, 19, 10, 5, None, 16, 3, 8, 18, 19, 5, 17, 12, 11, 13, 0]",3,3,9,3
"[19, 8, 12, 14, 14, 9, 17, 8, 12, 16, None, 1, 5, 6, 15, 7, 10, 7, 1, 15]","[12, 8, 14, 12, 19, 9, 17, 8, 14, 16, None, 10, 15, 6, 5, 7, 10, 7, 1, 15]",3,3,12,3
"[5, 12, 13, 11, None, 18, 11, 5, 12, 13, 18, 0, 11, 10, 15, 8, 0, 9, 4, 1]","[5, 0, 13, 11, None, 18, 12, 5, 12, 13, 8, 0, 11, 10, 15, 8, 11, 9, 4, 6]",3,3,10,3
"[None, 0, 13, 19, 14, 9, 1, 1, 16, 1, 6, 15, 1, 9, 15, 2, 5, 4, 15, 4]","[None, 0, 13, 19, 1, 9, 1, 1, 16, 1, 6, 15, 1, 12, 15, 2, 5, 4, 15, 4]",3,3,8,2
